Unknown: Rt: 49.6558 (Align ID: 1) @ 16-Hydroxyhexadecanoic acid (2TMS)Compound in Library Factor = N/A
Hit 14 : <<Decane, 1-(ethenyloxy)->>;<<C12H24O>>; MF: 459; RMF: 681; Prob: -1.00; CAS:765-05-9; Mw: 184; Lib: <<mainlib>>; Id: 8456; RI: 0.
Hit 15 : <<5-Ethyl-4-octanone>>;<<C10H20O>>; MF: 387; RMF: 681; Prob: -1.00; CAS:0; Mw: 156; Lib: <<mainlib>>; Id: 11089; RI: 0.
Hit 16 : <<Tetracosan-10-yl acetate>>;<<C26H52O2>>; MF: 498; RMF: 678; Prob: -1.00; CAS:0; Mw: 396; Lib: <<mainlib>>; Id: 30127; RI: 2431.
Hit 17 : <<Tetradecanal>>;<<C14H28O>>; MF: 473; RMF: 678; Prob: -1.00; CAS:124-25-4; Mw: 212; Lib: <<replib>>; Id: 7102; RI: 1613.
Hit 18 : <<Carbonic acid, eicosyl vinyl ester>>;<<C23H44O3>>; MF: 515; RMF: 677; Prob: -1.00; CAS:0; Mw: 368; Lib: <<mainlib>>; Id: 29253; RI: 2497.
Hit 19 : <<Oxalic acid, isobutyl tetradecyl ester>>;<<C20H38O4>>; MF: 475; RMF: 677; Prob: -1.00; CAS:0; Mw: 342; Lib: <<mainlib>>; Id: 27591; RI: 0.
Hit 20 : <<11-Tricosene>>;<<C23H46>>; MF: 460; RMF: 677; Prob: -1.00; CAS:52078-56-5; Mw: 322; Lib: <<mainlib>>; Id: 6711; RI: 2287.
Hit 21 : <<Oxalic acid, allyl hexadecyl ester>>;<<C21H38O4>>; MF: 447; RMF: 677; Prob: -1.00; CAS:0; Mw: 354; Lib: <<mainlib>>; Id: 2845; RI: 0.
Hit 22 : <<Oxalic acid, hexyl tetradecyl ester>>;<<C22H42O4>>; MF: 473; RMF: 676; Prob: -1.00; CAS:0; Mw: 370; Lib: <<mainlib>>; Id: 8742; RI: 0.
Hit 23 : <<1-Octanol, 2-butyl->>;<<C12H26O>>; MF: 491; RMF: 675; Prob: -1.00; CAS:3913-02-8; Mw: 186; Lib: <<replib>>; Id: 7403; RI: 1277.
Hit 24 : <<2-Methyl-E-7-hexadecene>>;<<C17H34>>; MF: 485; RMF: 672; Prob: -1.00; CAS:64183-52-4; Mw: 238; Lib: <<mainlib>>; Id: 8340; RI: 0.
Hit 25 : <<2-Methyl-7-nonadecene>>;<<C20H40>>; MF: 478; RMF: 671; Prob: -1.00; CAS:219750-68-2; Mw: 280; Lib: <<mainlib>>; Id: 8574; RI: 0.
Hit 26 : <<4-Trifluoroacetoxyhexadecane>>;<<C18H33F3O2>>; MF: 477; RMF: 671; Prob: -1.00; CAS:0; Mw: 338; Lib: <<mainlib>>; Id: 22689; RI: 0.
Hit 27 : <<Tridecanal>>;<<C13H26O>>; MF: 472; RMF: 671; Prob: -1.00; CAS:10486-19-8; Mw: 198; Lib: <<replib>>; Id: 2218; RI: 1513.
Hit 28 : <<3-Methyl-4-amino-4,5(1H)-dihydro-1,2,4-triazole-5-one>>;<<C3H6N4O>>; MF: 303; RMF: 671; Prob: -1.00; CAS:4194-37-0; Mw: 114; Lib: <<mainlib>>; Id: 112150; RI: 0.
Hit 29 : <<5-Eicosene, (E)->>;<<C20H40>>; MF: 480; RMF: 669; Prob: -1.00; CAS:74685-30-6; Mw: 280; Lib: <<mainlib>>; Id: 23053; RI: 2286.
Hit 30 : <<Oxalic acid, allyl tridecyl ester>>;<<C18H32O4>>; MF: 438; RMF: 666; Prob: -1.00; CAS:0; Mw: 312; Lib: <<mainlib>>; Id: 2843; RI: 0.
Hit 31 : <<1-Decanol, 2-octyl->>;<<C18H38O>>; MF: 504; RMF: 664; Prob: -1.00; CAS:45235-48-1; Mw: 270; Lib: <<mainlib>>; Id: 27897; RI: 0.
Hit 32 : <<Isobutyl tetradecyl carbonate>>;<<C19H38O3>>; MF: 479; RMF: 663; Prob: -1.00; CAS:959275-58-2; Mw: 314; Lib: <<mainlib>>; Id: 28392; RI: 0.
Hit 33 : <<Oxalic acid, hexyl octadecyl ester>>;<<C26H50O4>>; MF: 468; RMF: 663; Prob: -1.00; CAS:0; Mw: 426; Lib: <<mainlib>>; Id: 8746; RI: 0.
Hit 34 : <<1-Chloro-2-dodecyloxyethane>>;<<C14H29ClO>>; MF: 408; RMF: 663; Prob: -1.00; CAS:29677-36-9; Mw: 248; Lib: <<mainlib>>; Id: 27751; RI: 0.
Hit 35 : <<Isobutyl tridecyl carbonate>>;<<C18H36O3>>; MF: 479; RMF: 662; Prob: -1.00; CAS:959275-44-6; Mw: 300; Lib: <<replib>>; Id: 7142; RI: 0.
Hit 36 : <<Oxalic acid, isohexyl tetradecyl ester>>;<<C22H42O4>>; MF: 478; RMF: 662; Prob: -1.00; CAS:0; Mw: 370; Lib: <<mainlib>>; Id: 67890; RI: 0.
Hit 37 : <<2-Trifluoroacetoxypentadecane>>;<<C17H31F3O2>>; MF: 507; RMF: 661; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 2758; RI: 0.
Hit 38 : <<Oxalic acid, isobutyl pentadecyl ester>>;<<C21H40O4>>; MF: 470; RMF: 661; Prob: -1.00; CAS:0; Mw: 356; Lib: <<mainlib>>; Id: 27592; RI: 0.
Hit 39 : <<Oxirane, 2-[(decyloxy)methyl]->>;<<C13H26O2>>; MF: 427; RMF: 661; Prob: -1.00; CAS:3497-06-1; Mw: 214; Lib: <<mainlib>>; Id: 27757; RI: 1598.
Hit 40 : <<Hexacosyl acetate>>;<<C28H56O2>>; MF: 484; RMF: 660; Prob: -1.00; CAS:822-32-2; Mw: 424; Lib: <<replib>>; Id: 7566; RI: 3003.
Hit 41 : <<Oxalic acid, isobutyl heptadecyl ester>>;<<C23H44O4>>; MF: 478; RMF: 660; Prob: -1.00; CAS:0; Mw: 384; Lib: <<mainlib>>; Id: 27594; RI: 0.
Hit 42 : <<2,2-Dimethylpropanoic acid, undec-2-enyl ester>>;<<C16H30O2>>; MF: 460; RMF: 660; Prob: -1.00; CAS:0; Mw: 254; Lib: <<mainlib>>; Id: 28488; RI: 1643.
Hit 43 : <<2,6-Undecadienoic acid, 7-ethyl-3-methyl-, methyl ester, (E,Z)->>;<<C15H26O2>>; MF: 442; RMF: 660; Prob: -1.00; CAS:55283-23-3; Mw: 238; Lib: <<mainlib>>; Id: 40789; RI: 0.
Hit 44 : <<Oxalic acid, allyl dodecyl ester>>;<<C17H30O4>>; MF: 436; RMF: 660; Prob: -1.00; CAS:0; Mw: 298; Lib: <<mainlib>>; Id: 2842; RI: 0.
Hit 45 : <<Triacontyl acetate>>;<<C32H64O2>>; MF: 480; RMF: 659; Prob: -1.00; CAS:41755-58-2; Mw: 480; Lib: <<mainlib>>; Id: 28173; RI: 3413.
Hit 46 : <<Oxalic acid, heptadecyl hexyl ester>>;<<C25H48O4>>; MF: 472; RMF: 659; Prob: -1.00; CAS:0; Mw: 412; Lib: <<mainlib>>; Id: 8745; RI: 0.
Hit 47 : <<Dichloroacetic acid, 2-pentadecyl ester>>;<<C17H32Cl2O2>>; MF: 459; RMF: 659; Prob: -1.00; CAS:0; Mw: 338; Lib: <<mainlib>>; Id: 6617; RI: 0.
Hit 48 : <<Sulfurous acid, butyl heptadecyl ester>>;<<C21H44O3S>>; MF: 452; RMF: 659; Prob: -1.00; CAS:0; Mw: 376; Lib: <<mainlib>>; Id: 29246; RI: 0.
Hit 49 : <<1-Heptadecene>>;<<C17H34>>; MF: 438; RMF: 659; Prob: -1.00; CAS:6765-39-5; Mw: 238; Lib: <<replib>>; Id: 2165; RI: 1692.
Hit 50 : <<2(3H)-Furanone, 5-dodecyldihydro->>;<<C16H30O2>>; MF: 509; RMF: 658; Prob: -1.00; CAS:730-46-1; Mw: 254; Lib: <<mainlib>>; Id: 68059; RI: 2105.
Hit 51 : <<Oxalic acid, allyl pentadecyl ester>>;<<C20H36O4>>; MF: 428; RMF: 658; Prob: -1.00; CAS:0; Mw: 340; Lib: <<mainlib>>; Id: 2844; RI: 0.
Hit 52 : <<Nitric acid, decyl ester>>;<<C10H21NO3>>; MF: 384; RMF: 658; Prob: -1.00; CAS:2050-78-4; Mw: 203; Lib: <<mainlib>>; Id: 6796; RI: 0.
Hit 53 : <<Octadecane, 1-(ethenyloxy)->>;<<C20H40O>>; MF: 504; RMF: 656; Prob: -1.00; CAS:930-02-9; Mw: 296; Lib: <<mainlib>>; Id: 27775; RI: 0.
Hit 54 : <<1-Eicosene>>;<<C20H40>>; MF: 479; RMF: 656; Prob: -1.00; CAS:3452-07-1; Mw: 280; Lib: <<replib>>; Id: 2185; RI: 1994.
Hit 55 : <<Butyl hexadecyl ether>>;<<C20H42O>>; MF: 466; RMF: 656; Prob: -1.00; CAS:0; Mw: 298; Lib: <<mainlib>>; Id: 28105; RI: 2076.
Hit 56 : <<4-Heptafluorobutyroxytetradecane>>;<<C18H29F7O2>>; MF: 478; RMF: 655; Prob: -1.00; CAS:0; Mw: 410; Lib: <<mainlib>>; Id: 22691; RI: 0.
Hit 57 : <<9-Octadecene, (E)->>;<<C18H36>>; MF: 465; RMF: 655; Prob: -1.00; CAS:7206-25-9; Mw: 252; Lib: <<mainlib>>; Id: 23051; RI: 0.
Hit 58 : <<Carbonic acid, but-2-yn-1-yl tetradecyl ester>>;<<C19H34O3>>; MF: 501; RMF: 654; Prob: -1.00; CAS:0; Mw: 310; Lib: <<mainlib>>; Id: 28366; RI: 2227.
Hit 59 : <<Triacontan-15-ol>>;<<C30H62O>>; MF: 485; RMF: 654; Prob: -1.00; CAS:31849-26-0; Mw: 438; Lib: <<mainlib>>; Id: 30128; RI: 3210.
Hit 60 : <<Dodecyl isobutyl carbonate>>;<<C17H34O3>>; MF: 464; RMF: 654; Prob: -1.00; CAS:959067-22-2; Mw: 286; Lib: <<replib>>; Id: 7152; RI: 0.
Hit 61 : <<Docosyl octyl ether>>;<<C30H62O>>; MF: 492; RMF: 653; Prob: -1.00; CAS:0; Mw: 438; Lib: <<mainlib>>; Id: 29071; RI: 3056.
