Unknown: MSHub_GCMS_polar_to_NIST.mgf file offset = 00000000         Compound in Library Factor = N/A
Hit 65 : <<2H-Pyran, tetrahydro-2-(2,2,2-trifluoroethoxy)->>;<<C7H11F3O2>>; MF: 310; RMF: 544; Prob: -1.00; CAS:16408-83-6; Mw: 184; Lib: <<mainlib>>; Id: 22185; RI: 0.
Hit 66 : <<Diethylmalonic acid, 3-phenylpropyl tetradecyl ester>>;<<C30H50O4>>; MF: 336; RMF: 543; Prob: -1.00; CAS:0; Mw: 474; Lib: <<mainlib>>; Id: 120995; RI: 3212.
Hit 67 : <<Fumaric acid, pentadecyl 3-phenylpropyl ester>>;<<C28H44O4>>; MF: 319; RMF: 543; Prob: -1.00; CAS:0; Mw: 444; Lib: <<mainlib>>; Id: 120883; RI: 0.
Hit 68 : <<Benzene, 1-(4'-ethyl[1,1'-bicyclohexyl]-4-yl)-4-methyl->>;<<C21H32>>; MF: 364; RMF: 542; Prob: -1.00; CAS:84656-92-8; Mw: 284; Lib: <<mainlib>>; Id: 120283; RI: 0.
Hit 69 : <<Glutaric acid, isobutyl 3-phenylpropyl ester>>;<<C18H26O4>>; MF: 328; RMF: 542; Prob: -1.00; CAS:0; Mw: 306; Lib: <<mainlib>>; Id: 120736; RI: 2291.
Hit 70 : <<Diglycolic acid, decyl 3-phenylpropyl ester>>;<<C23H36O5>>; MF: 317; RMF: 542; Prob: -1.00; CAS:0; Mw: 392; Lib: <<mainlib>>; Id: 120786; RI: 0.
Unknown: MSHub_GCMS_polar_to_NIST.mgf file offset = 0x000d71         Compound in Library Factor = N/A
Hit 1  : <<3-Methyl-2-butenoic acid, tridec-2-ynyl ester>>;<<C18H30O2>>; MF: 715; RMF: 759; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 64995; RI: 2035.
Hit 2  : <<3-Methyl-2-butenoic acid, cyclobutyl ester>>;<<C9H14O2>>; MF: 695; RMF: 741; Prob: -1.00; CAS:0; Mw: 154; Lib: <<mainlib>>; Id: 64676; RI: 0.
Hit 3  : <<3-Methylbut-2-enoic acid, 3-methylbut-2-yl ester>>;<<C10H18O2>>; MF: 667; RMF: 701; Prob: -1.00; CAS:0; Mw: 170; Lib: <<mainlib>>; Id: 65059; RI: 1148.
