Unknown: UnknownID=0|RT=54.14|RI=3244.5                              Compound in Library Factor = N/A
Hit 26 : <<o-Methoxybenzoic acid, 2-bromo-4-fluorophenyl ester>>;<<C14H10BrFO3>>; MF: 565; RMF: 861; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 148278; RI: 1960.
Hit 27 : <<Benzoic acid, 4-methoxy-, 4-(trans-4-pentylcyclohexyl)phenyl ester>>;<<C25H32O3>>; MF: 589; RMF: 860; Prob: -1.00; CAS:1229648-08-1; Mw: 380; Lib: <<mainlib>>; Id: 149719; RI: 0.
Hit 28 : <<1,2-Benzenediol, o-(4-methoxybezoyl)-o'-(5-chlorovaleryl)->>;<<C19H19ClO5>>; MF: 553; RMF: 860; Prob: -1.00; CAS:0; Mw: 362; Lib: <<mainlib>>; Id: 149582; RI: 0.
Hit 29 : <<p-Anisic acid, 4-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 588; RMF: 859; Prob: -1.00; CAS:0; Mw: 262; Lib: <<mainlib>>; Id: 149574; RI: 2117.
Hit 30 : <<o-Methoxybenzoic acid, 2-methylphenyl ester>>;<<C15H14O3>>; MF: 577; RMF: 858; Prob: -1.00; CAS:72566-70-2; Mw: 242; Lib: <<mainlib>>; Id: 148373; RI: 1895.
Hit 31 : <<2-Methoxybenzoic acid, 3,4-dimethylphenyl ester>>;<<C16H16O3>>; MF: 530; RMF: 858; Prob: -1.00; CAS:0; Mw: 256; Lib: <<mainlib>>; Id: 148309; RI: 0.
Hit 32 : <<2-Methoxybenzoic acid, 3-fluorophenyl ester>>;<<C14H11FO3>>; MF: 527; RMF: 857; Prob: -1.00; CAS:0; Mw: 246; Lib: <<mainlib>>; Id: 148308; RI: 0.
Hit 33 : <<1,3-Benzenediol, o-(2-furoyl)-o'-(2-methoxybenzoyl)->>;<<C19H14O6>>; MF: 583; RMF: 856; Prob: -1.00; CAS:0; Mw: 338; Lib: <<mainlib>>; Id: 149590; RI: 0.
Hit 34 : <<1-Dodecanone, 2-(imidazol-1-yl)-1-(4-methoxyphenyl)->>;<<C22H32N2O2>>; MF: 556; RMF: 856; Prob: -1.00; CAS:0; Mw: 356; Lib: <<mainlib>>; Id: 148269; RI: 0.
Hit 35 : <<o-Anisic acid, 3-methylphenyl ester>>;<<C15H14O3>>; MF: 570; RMF: 854; Prob: -1.00; CAS:0; Mw: 242; Lib: <<mainlib>>; Id: 148289; RI: 1964.
Hit 36 : <<p-Methoxybenzoic acid, 2-methylphenyl ester>>;<<C15H14O3>>; MF: 564; RMF: 848; Prob: -1.00; CAS:7504-73-6; Mw: 242; Lib: <<mainlib>>; Id: 149649; RI: 1934.
