Unknown: Rt: 38.3396 (Align ID: 1) @ Dihydrolipoic acid (3TMS)       Compound in Library Factor = N/A
Hit 28 : <<Cyclohexane, 1,2-dichloro-, cis->>;<<C6H10Cl2>>; MF: 511; RMF: 624; Prob: -1.00; CAS:10498-35-8; Mw: 152; Lib: <<mainlib>>; Id: 62488; RI: 0.
Hit 29 : <<E-2-Hydroxymethylcyclopentanol, bistrifluoroacetate (ester)>>;<<C10H10F6O4>>; MF: 580; RMF: 623; Prob: -1.00; CAS:0; Mw: 308; Lib: <<mainlib>>; Id: 62384; RI: 0.
Hit 30 : <<1H-Pyrrole-1-propanoic acid, methyl ester>>;<<C8H11NO2>>; MF: 585; RMF: 614; Prob: -1.00; CAS:99233-38-2; Mw: 153; Lib: <<mainlib>>; Id: 61682; RI: 0.
Hit 31 : <<Norbornane, 1-methyl-2-hydroxy->>;<<C8H14O>>; MF: 538; RMF: 614; Prob: -1.00; CAS:54339-50-3; Mw: 126; Lib: <<mainlib>>; Id: 62862; RI: 0.
Hit 32 : <<7-Thiabicyclo[4.1.0]heptane>>;<<C6H10S>>; MF: 504; RMF: 614; Prob: -1.00; CAS:286-28-2; Mw: 114; Lib: <<mainlib>>; Id: 62530; RI: 0.
Hit 33 : <<6-Isopropoxytetrazolo[1,5-b]pyridazine>>;<<C7H9N5O>>; MF: 470; RMF: 614; Prob: -1.00; CAS:0; Mw: 179; Lib: <<mainlib>>; Id: 6947; RI: 0.
Hit 34 : <<Pyrazine>>;<<C4H4N2>>; MF: 442; RMF: 614; Prob: -1.00; CAS:290-37-9; Mw: 80; Lib: <<mainlib>>; Id: 61483; RI: 736.
Hit 35 : <<Pyrrole-3-butyronitrile>>;<<C8H10N2>>; MF: 540; RMF: 612; Prob: -1.00; CAS:874-91-9; Mw: 134; Lib: <<mainlib>>; Id: 61745; RI: 0.
Hit 36 : <<Z-2-Hydroxymethylcyclopentanol, bistrifluoroacetate (ester)>>;<<C10H10F6O4>>; MF: 566; RMF: 608; Prob: -1.00; CAS:0; Mw: 308; Lib: <<mainlib>>; Id: 62383; RI: 0.
Hit 37 : <<4-(Chloromethyl)cyclohexene>>;<<C7H11Cl>>; MF: 425; RMF: 607; Prob: -1.00; CAS:2555-08-0; Mw: 130; Lib: <<mainlib>>; Id: 62461; RI: 0.
Hit 38 : <<Bicyclo[2.2.1]heptan-2-ol, 1-methyl-, acetate>>;<<C10H16O2>>; MF: 536; RMF: 605; Prob: -1.00; CAS:55679-39-5; Mw: 168; Lib: <<mainlib>>; Id: 104859; RI: 0.
Hit 39 : <<1,2-Benzenediamine>>;<<C6H8N2>>; MF: 490; RMF: 604; Prob: -1.00; CAS:95-54-5; Mw: 108; Lib: <<replib>>; Id: 21303; RI: 1219.
Hit 40 : <<3-Cyclohexenecarbonyl chloride>>;<<C7H9ClO>>; MF: 484; RMF: 602; Prob: -1.00; CAS:932-67-2; Mw: 144; Lib: <<mainlib>>; Id: 62510; RI: 0.
Hit 41 : <<Tricyclo[3.2.1.0(2,4)]octane, 1-methyl->>;<<C9H14>>; MF: 506; RMF: 599; Prob: -1.00; CAS:0; Mw: 122; Lib: <<mainlib>>; Id: 60486; RI: 984.
Hit 42 : <<Methyl 1,2,3,6-tetrahydropyridine-3-carboxylate>>;<<C7H11NO2>>; MF: 526; RMF: 597; Prob: -1.00; CAS:121743-23-5; Mw: 141; Lib: <<mainlib>>; Id: 63838; RI: 1164.
Hit 43 : <<(CH3)2C=CHCN>>;<<C5H7N>>; MF: 466; RMF: 597; Prob: -1.00; CAS:4786-24-7; Mw: 81; Lib: <<replib>>; Id: 1533; RI: 770.
Hit 44 : <<1H-Pyrrole, 1-pentyl->>;<<C9H15N>>; MF: 540; RMF: 596; Prob: -1.00; CAS:699-22-9; Mw: 137; Lib: <<mainlib>>; Id: 62543; RI: 0.
Hit 45 : <<Bicyclo[2.2.2]octanone>>;<<C8H12O>>; MF: 475; RMF: 596; Prob: -1.00; CAS:2716-23-6; Mw: 124; Lib: <<mainlib>>; Id: 61738; RI: 0.
Hit 46 : <<Cyclohexene, 3-chloro->>;<<C6H9Cl>>; MF: 460; RMF: 596; Prob: -1.00; CAS:2441-97-6; Mw: 116; Lib: <<replib>>; Id: 14321; RI: 0.
Hit 47 : <<4-Oxatricyclo[4.3.1.1(3,8)]undecan-5-one>>;<<C10H14O2>>; MF: 534; RMF: 595; Prob: -1.00; CAS:21898-84-0; Mw: 166; Lib: <<mainlib>>; Id: 61575; RI: 0.
Hit 48 : <<Pent-2-ynal, 4,4-dimethyl->>;<<C7H10O>>; MF: 388; RMF: 594; Prob: -1.00; CAS:2579-21-7; Mw: 110; Lib: <<replib>>; Id: 1322; RI: 0.
Hit 49 : <<2-Pyridinamine, 4-methyl->>;<<C6H8N2>>; MF: 481; RMF: 593; Prob: -1.00; CAS:695-34-1; Mw: 108; Lib: <<replib>>; Id: 21300; RI: 1113.
Hit 50 : <<2-Cycloocten-1-one>>;<<C8H12O>>; MF: 530; RMF: 592; Prob: -1.00; CAS:1728-25-2; Mw: 124; Lib: <<mainlib>>; Id: 61826; RI: 0.
Hit 51 : <<1H-Pyrrole-2-acetic acid, 1-methyl-, methyl ester>>;<<C8H11NO2>>; MF: 350; RMF: 587; Prob: -1.00; CAS:51856-79-2; Mw: 153; Lib: <<replib>>; Id: 17893; RI: 0.
Hit 52 : <<1H-Pyrrole, 2-ethyl->>;<<C6H9N>>; MF: 499; RMF: 586; Prob: -1.00; CAS:1551-06-0; Mw: 95; Lib: <<replib>>; Id: 14130; RI: 938.
Hit 53 : <<2-Butenoic acid, 2-(cyanomethyl)-, ethyl ester>>;<<C8H11NO2>>; MF: 477; RMF: 586; Prob: -1.00; CAS:54244-77-8; Mw: 153; Lib: <<mainlib>>; Id: 104844; RI: 0.
Hit 54 : <<Cyclohexene,3-(2-propenyl)->>;<<C9H14>>; MF: 479; RMF: 585; Prob: -1.00; CAS:15232-95-8; Mw: 122; Lib: <<replib>>; Id: 14320; RI: 923.
Hit 55 : <<cis-1,3-Cyclohexanedicarbonitrile>>;<<C8H10N2>>; MF: 433; RMF: 585; Prob: -1.00; CAS:10340-01-9; Mw: 134; Lib: <<mainlib>>; Id: 21804; RI: 0.
